,Dataset,Model,MAE,RMSE,R2 Score
0,knn_imputed,Ridge,0.020357037417470462,0.0009931044238355165,0.1654855890413517
1,knn_imputed,Lasso,0.021478412902409268,0.0011548628993762401,0.029558514613382103
2,knn_imputed,Random Forest,0.013911030911821854,0.0006152334750198349,0.4830138818380135
3,knn_imputed,XGBoost,0.014237389402325848,0.0006386360639050257,0.4633484798825923
4,knn_imputed,LightGBM,0.013721160960179687,0.0005891630306447543,0.5049211063039716
5,imputed_interpolate,Ridge,0.07565226151790168,0.0118987852105191,0.0399966510508295
6,imputed_interpolate,Lasso,0.07525702465722155,0.012357174149054557,0.0030134709757523304
7,imputed_interpolate,Random Forest,0.05555416689858748,0.007755580317677651,0.37427368035581154
8,imputed_interpolate,XGBoost,0.05760535996537358,0.007580826349754265,0.38837296792848697
9,imputed_interpolate,LightGBM,0.05642432008933605,0.007612271883875058,0.3858359175043169
10,imputed_MICE,Ridge,0.0027795425573618644,0.0001587748133312064,0.898313927004261
11,imputed_MICE,Lasso,0.019028595740922957,0.0009189155201095371,0.41148782546601503
12,imputed_MICE,Random Forest,0.010224174457015758,0.00039177645435605374,0.749089869483528
13,imputed_MICE,XGBoost,0.010022312332854253,0.0003733517737864623,0.7608898103810458
14,imputed_MICE,LightGBM,0.008216242211080738,0.000306882287883441,0.8034596667311487
15,mean_athlete_dataset,Ridge,0.0044928647248737835,0.0002912367619557542,-0.01161588707165051
16,mean_athlete_dataset,Lasso,0.0030659654302126623,0.0002889224469720066,-0.003577074287422377
17,mean_athlete_dataset,Random Forest,0.005662214234537527,0.00035623813449471006,-0.23739926929405208
18,mean_athlete_dataset,XGBoost,0.006497042212784768,0.00034401441498668577,-0.19493996995840135
19,mean_athlete_dataset,LightGBM,0.006717600457682171,0.00034435851488343614,-0.19613520685073182
20,mode_athlete_dataset,Ridge,0.004879022957779792,0.0003350252682604101,-0.011278509603498188
21,mode_athlete_dataset,Lasso,0.003894191315747319,0.0003320307221453998,-0.0022394298115444577
22,mode_athlete_dataset,Random Forest,0.005729942641205406,0.0003855426946574923,-0.16376607551490396
23,mode_athlete_dataset,XGBoost,0.006312120532912967,0.00039833560452016395,-0.20238165483102488
24,mode_athlete_dataset,LightGBM,0.006718559099954432,0.0003971934059917706,-0.19893391242203395
25,median_athlete_dataset,Ridge,0.004649090170315404,0.0003197426865378657,-0.011928216562045568
26,median_athlete_dataset,Lasso,0.003535213003153527,0.00031679083387634255,-0.002586132676804631
27,median_athlete_dataset,Random Forest,0.005557152239496464,0.00037587488432600874,-0.18957654814550096
28,median_athlete_dataset,XGBoost,0.0063977535348834075,0.0003829680349734371,-0.21202509689004922
29,median_athlete_dataset,LightGBM,0.006605098179582325,0.00037797764957563,-0.19623142276339434
30,em_imputed,Ridge,0.0038544742084191254,0.00028876580810258237,0.6841955480887292
31,em_imputed,Lasso,0.011200873553234033,0.00045739510082255834,0.49977661804456297
32,em_imputed,Random Forest,0.005965103812038615,0.00032473299632503527,0.6448605650517272
33,em_imputed,XGBoost,0.007474159172579289,0.0003788804326712599,0.5856430227461464
34,em_imputed,LightGBM,0.00643530263516425,0.0003194443078382583,0.6506444609356288
